establecimiento,razon_social,productos
PETROAGRO S.A.,SAN JUAN,GIRASOL ALTO OLEICO
PETROAGRO S.A.,HURE,MAIZ
PETROAGRO S.A.,SAN CARLOS,SOJA
PETROAGRO S.A.,SAN CARLOS,MAIZ
PETROAGRO S.A.,LOS VASQUITOS,MAIZ
PETROAGRO S.A.,LOS VASQUITOS,DESCANSO
PETROAGRO S.A.,SIVORI,SORGO
PETROAGRO S.A.,SIVORI,SOJA
"PROVERBIO, JUAN MARIANO",LOTE 111,HORTICULTURA
"PROVERBIO, JUAN MARIANO","PROVERBIO, JUAN MARIANO",HORTALIZAS
PROVIDENCE SA,LA ISLA,AVENA
PROVIDENCE SA,LA ISLA,CENTENO
PROVIDENCE SA,LA ISLA,GANADERIA BOVINA
PROVIDENCE SA,SANTA ELENA,TRIGO
PROVIDENCE SA,SANTA ELENA,AVENA
PROVIDENCE SA,SANTA ELENA,CENTENO
PROVIDENCE SA,SANTA ELENA,CEBADA
PROVIDENCE SA,SANTA ELENA,GIRASOL
PROVIDENCE SA,SANTA ELENA,GANADERIA BOVINA
RIVARA S.A.,LAS NUTRIAS,SOJA
RIVARA S.A.,LAS NUTRIAS,MAIZ
RIVARA S.A.,LAS NUTRIAS,PASTURAS
RIVARA S.A.,LAS NUTRIAS,TRIGO
RIVARA S.A.,LAS NUTRIAS,CEBADA
RIVARA S.A.,LAS NUTRIAS,CAMPO NATURAL
RIVARA S.A.,LA MARTITA,SOJA
RIVARA S.A.,LA MARTITA,SORGO
RIVARA S.A.,LA MARTITA,CAMPO NATURAL
RIVARA S.A.,LA MARTITA,PASTURAS
RIVARA S.A.,EL FORTIN Y LOS MEDANOS,MAIZ
RIVARA S.A.,EL FORTIN Y LOS MEDANOS,PASTURAS
RIVARA S.A.,EL FORTIN Y LOS MEDANOS,SOJA
RIVARA S.A.,EL FORTIN Y LOS MEDANOS,MAIZ PISINGALLO
RIVARA S.A.,EL FORTIN Y LOS MEDANOS,CAMPO NATURAL
RIVARA S.A.,EL ROSARIO (MANUBI),DESCANSO
RIVARA S.A.,EL ROSARIO (MANUBI),SOJA
RIVARA S.A.,EL ROSARIO (MANUBI),MAIZ
RIVARA S.A.,EL ROSARIO (MANUBI),PASTURAS
RIVARA S.A.,LA ADELINA,PASTURAS
RIVARA S.A.,LA ADELINA,ABONO VERDE
RIVARA S.A.,LA ADELINA,CAMPO NATURAL
RIVARA S.A.,LA ADELINA,SOJA
RIVARA S.A.,LA ADELINA,DESCANSO
RIVARA S.A.,LA ADELINA,MONTE
RIVARA S.A.,10 DE JUNIO,SOJA
RIVARA S.A.,MAMA CAROLINA,SOJA
RIVARA S.A.,LA LUISA,SOJA
RODOLFO UNGARO Y CIA S.A.,ARMONIA - LAS 150 - EL MORO,VACAS
RODOLFO UNGARO Y CIA S.A.,ARMONIA - LAS 150 - EL MORO,NOVILLOS
RODOLFO UNGARO Y CIA S.A.,ARMONIA - LAS 150 - EL MORO,VAQUILLONAS
RODOLFO UNGARO Y CIA S.A.,ARMONIA - LAS 150 - EL MORO,TOROS
RODOLFO UNGARO Y CIA S.A.,ARMONIA - LAS 150 - EL MORO,TERNEROS
RODOLFO UNGARO Y CIA S.A.,ARMONIA - LAS 150 - EL MORO,TERNERAS
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,RADICHETA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,RUCULA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,ALBAHACA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,MENTA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,CILANTRO
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,SALVIA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,TOMILLO
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,ESPARRAGOS
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,TOMATE
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,INCULTO
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,ROMERO
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,ALFALFA
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,ALCAUCIL
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,ESTRAGON
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,PEREJIL
ROLAND MOHLE/CORINA KEYMER DE MOHLE,ROCO,CEBOLLA
"ROSSI, PILADE QUINTO",EL CHAPARRAL,TRIGO
"ROSSI, PILADE QUINTO",LA ALCANCIA,TRIGO
SASAKI NOOSAN SRL,SASAKI NOOSAN SRL,HORTALIZAS
SASAKI NOOSAN SRL,SASAKI NOOSAN SRL,ARROZ
SOYAPAMPA S.A.,EL REZONGO,SOJA
SOYAPAMPA SA,VIMANEMAR,CEREALES Y OLEAGINOSAS
SOYAPAMPA SA,LAS MARIAS,CEREALES Y OLEAGINOSAS
SOYAPAMPA SA,LA PICASA,CEREALES Y OLEAGINOSAS
